[03-Aug-2012 14:18:16] PHP Fatal error:  Class 'Home' not found in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 35
[04-Aug-2012 06:33:52] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:33:55] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:36:07] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:36:08] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:36:09] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:44) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
[04-Aug-2012 06:37:28] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 53
[04-Aug-2012 06:38:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 54
[04-Aug-2012 06:50:15] PHP Notice:  Uninitialized string offset: 0 in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/main/ICF_Application.php on line 93
[04-Aug-2012 07:10:58] PHP Notice:  Undefined variable: message in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/view/authentication/accountHome.php on line 3
[04-Aug-2012 07:11:00] PHP Notice:  Undefined variable: message in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/view/authentication/accountHome.php on line 3
[04-Aug-2012 07:17:40] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php:31) in /Applications/XAMPP/xamppfiles/htdocs/spkmanager/framework/icf/library/Base.php on line 22
